property_url,property_title,property_location,property_size,property_room_type,property_price,estimated_monthly_rent,comparable_count
https://www.idealista.pt/en/imovel/34052765/,"T2 flat in Santa Engrácia, São Vicente","Santa Engrácia, São Vicente",40.0,T2,"247,500€",3467.0,1
https://www.idealista.pt/en/imovel/34061637/,"T2 flat in Campo de Santana - Santa Marta, Santo António","Campo de Santana - Santa Marta, Santo António",50.0,T2,"300,000€",1910.0,7
https://www.idealista.pt/en/imovel/33989995/,"T2 flat in Alto de Alcântara, Alcântara","Alto de Alcântara, Alcântara",40.0,T2,"239,000€",2160.0,1
https://www.idealista.pt/en/imovel/33985055/,"T2 flat in Alto de São João - Alto do Varejão, Penha de França","Alto de São João - Alto do Varejão, Penha de França",77.0,T2,"255,000€",1686.3333333333333,3
https://www.idealista.pt/en/imovel/34033913/,"T1 flat in rua Carlos Pereira, Estrada de Benfica, São Domingos de Benfica","rua Carlos Pereira, Estrada de Benfica, São Domingos de Benfica",43.0,T1,"285,000€",1955.5,4
https://www.idealista.pt/en/imovel/34044237/,"T2 flat in Beato, Lisboa","Beato, Lisboa",56.0,T2,"245,000€",1744.875,8
https://www.idealista.pt/en/imovel/34030538/,"T1 flat in São Vicente de Fora, São Vicente","São Vicente de Fora, São Vicente",40.0,T1,"299,900€",1250.0,7
https://www.idealista.pt/en/imovel/34053475/,"T2 flat in avenida General Roçadas, Centro, Penha de França","avenida General Roçadas, Centro, Penha de França",65.0,T2,"280,000€",1934.0,14
https://www.idealista.pt/en/imovel/33853736/,"T2 flat in Centro, Penha de França","Centro, Penha de França",55.0,T2,"250,000€",1934.0,14
https://www.idealista.pt/en/imovel/34055706/,"T2 flat in rua de Campolide, Nova Campolide, Campolide","rua de Campolide, Nova Campolide, Campolide",50.0,T2,"300,000€",1725.0,2
https://www.idealista.pt/en/imovel/33832574/,"T1 flat in rua Marques da Silva, 45, Alameda - Praça do Chile - Almirante Reis, São Jorge de Arroios, Arroios","rua Marques da Silva, 45, Alameda - Praça do Chile - Almirante Reis, São Jorge de Arroios, Arroios",45.0,T1,"229,000€",2875.0,2
https://www.idealista.pt/en/imovel/34000565/,"T2 flat in Praça de Espanha - Sete Rios, Campolide","Praça de Espanha - Sete Rios, Campolide",64.0,T2,"280,000€",1730.75,8
https://www.idealista.pt/en/imovel/34027843/,"T1 flat in rua do Passadiço, Campo de Santana - Santa Marta, Santo António","rua do Passadiço, Campo de Santana - Santa Marta, Santo António",51.0,T1,"300,000€",2200.0,1
https://www.idealista.pt/en/imovel/34028179/,"T2 flat in Beato, Lisboa","Beato, Lisboa",40.0,T2,"220,000€",1550.0,2
https://www.idealista.pt/en/imovel/33976954/,"T2 flat in travessa Nova de Dom Vasco, Boa Hora, Ajuda","travessa Nova de Dom Vasco, Boa Hora, Ajuda",69.0,T2,"295,000€310,000 €5%",1650.0,1
https://www.idealista.pt/en/imovel/34041499/,"T2 flat in rua João do Outeiro, Mouraria - Castelo, Santa Maria Maior","rua João do Outeiro, Mouraria - Castelo, Santa Maria Maior",75.0,T2,"250,000€",2897.9545454545455,22
https://www.idealista.pt/en/imovel/34003524/,"T1 flat in travessa do Cabral, 39, Bica, Misericórdia","travessa do Cabral, 39, Bica, Misericórdia",40.0,T1,"196,300€",1803.3333333333333,15
https://www.idealista.pt/en/imovel/34013579/,"T2 flat in rua Garrido, Bairro dos Actores, Areeiro","rua Garrido, Bairro dos Actores, Areeiro",76.0,T2,"200,000€",1764.75,4
https://www.idealista.pt/en/imovel/34028316/,"T1 flat in travessa do Pasteleiro, 5, Santos-o-Velho - Madragoa, Estrela","travessa do Pasteleiro, 5, Santos-o-Velho - Madragoa, Estrela",50.0,T1,"250,000€",1875.0,2
https://www.idealista.pt/en/imovel/34003381/,"T2 flat in beco do Mirante, São Vicente de Fora, São Vicente","beco do Mirante, São Vicente de Fora, São Vicente",60.0,T2,"289,000€",1761.5,6
https://www.idealista.pt/en/imovel/33987737/,"T2 flat in rua Frei Manuel do Cenáculo, Centro, Penha de França","rua Frei Manuel do Cenáculo, Centro, Penha de França",70.0,T2,"275,000€",1934.0,14
https://www.idealista.pt/en/imovel/34002988/,"T2 flat in avenida Afonso III, Alto de São João - Alto do Varejão, Penha de França","avenida Afonso III, Alto de São João - Alto do Varejão, Penha de França",65.0,T2,"288,000€",1734.5714285714287,7
https://www.idealista.pt/en/imovel/34044946/,"T2 flat in rua Fonseca Benevides, Rio Seco - Casalinho, Ajuda","rua Fonseca Benevides, Rio Seco - Casalinho, Ajuda",54.0,T2,"235,000€",1650.0,1
https://www.idealista.pt/en/imovel/34008276/,"T2 flat in Prazeres, Estrela","Prazeres, Estrela",77.0,T2,"275,000€",2032.111111111111,9
https://www.idealista.pt/en/imovel/34050773/,"T2 flat in rua Professor Veiga Beirão, São João de Brito, Alvalade","rua Professor Veiga Beirão, São João de Brito, Alvalade",58.0,T2,"270,000€",2075.0,2
https://www.idealista.pt/en/imovel/34044220/,"T1 flat in rua do Passadiço, Campo de Santana - Santa Marta, Santo António","rua do Passadiço, Campo de Santana - Santa Marta, Santo António",50.0,T1,"300,000€",2200.0,1
https://www.idealista.pt/en/imovel/33982678/,"T1 flat in rua de Marcos Marreiros, Santa Catarina, Misericórdia","rua de Marcos Marreiros, Santa Catarina, Misericórdia",41.0,T1,"235,000€",1690.0,10
https://www.idealista.pt/en/imovel/34033181/,"T1 flat in beco da cardoso, Baixa, Santa Maria Maior","beco da cardoso, Baixa, Santa Maria Maior",40.0,T1,"257,000€",2452.1290322580644,31
https://www.idealista.pt/en/imovel/34046084/,"T2 flat in travessa Flores, São Vicente de Fora, São Vicente","travessa Flores, São Vicente de Fora, São Vicente",50.0,T2,"160,000€",1761.5,6
https://www.idealista.pt/en/imovel/33995335/,"T2 flat in rua Jacinto Nunes, 3, Centro, Penha de França","rua Jacinto Nunes, 3, Centro, Penha de França",73.0,T2,"295,000€",1978.923076923077,13
https://www.idealista.pt/en/imovel/34046420/,"T1 flat in avenida Conselheiro Barjona de Freitas, 18, Estrada de Benfica, São Domingos de Benfica","avenida Conselheiro Barjona de Freitas, 18, Estrada de Benfica, São Domingos de Benfica",40.0,T1,"270,000€Parking included",1752.5,6
https://www.idealista.pt/en/imovel/33988435/,"T1 flat in rua Castelo Branco Saraiva, Centro, Penha de França","rua Castelo Branco Saraiva, Centro, Penha de França",44.0,T1,"135,000€",1275.0,2
https://www.idealista.pt/en/imovel/33992083/,"T1 flat in Lapa, Estrela","Lapa, Estrela",45.0,T1,"250,000€",1941.6666666666667,6
https://www.idealista.pt/en/imovel/34041336/,"T1 flat in rua da Bombarda, 53, Anjos, Arroios","rua da Bombarda, 53, Anjos, Arroios",40.0,T1,"280,000€",1981.0,8
https://www.idealista.pt/en/imovel/34003346/,"T1 flat in rua Vítor Bastos, 48, Centro, Campolide","rua Vítor Bastos, 48, Centro, Campolide",50.0,T1,"285,000€",1500.0,1
https://www.idealista.pt/en/imovel/34010079/,"T2 flat in Graça, São Vicente","Graça, São Vicente",52.0,T2,"195,000€",2136.8333333333335,6
https://www.idealista.pt/en/imovel/34009087/,"T2 flat in travessa da Madalena, Nn, Mouraria - Castelo, Santa Maria Maior","travessa da Madalena, Nn, Mouraria - Castelo, Santa Maria Maior",45.0,T2,"210,000€",3186.4117647058824,34
https://www.idealista.pt/en/imovel/33956611/,"T1 flat in rua do Embaixador, 146, Centro, Belém","rua do Embaixador, 146, Centro, Belém",42.0,T1,"230,000€",1295.0,1
https://www.idealista.pt/en/imovel/33983717/,"T1 flat in Alfama, Santa Maria Maior","Alfama, Santa Maria Maior",41.0,T1,"289,000€",2394.4583333333335,24
https://www.idealista.pt/en/imovel/34038056/,"T2 flat in Boa Hora, Ajuda","Boa Hora, Ajuda",70.0,T2,"270,000€",1650.0,1
https://www.idealista.pt/en/imovel/34047803/,"T1 flat in Boa Hora, Ajuda","Boa Hora, Ajuda",50.0,T1,"230,000€",1500.0,1
https://www.idealista.pt/en/imovel/33704216/,"T2 flat in rua General Justiniano Padrel, Santa Engrácia, São Vicente","rua General Justiniano Padrel, Santa Engrácia, São Vicente",71.0,T2,"270,000€314,000 €14%",1550.0,1
https://www.idealista.pt/en/imovel/33277885/,"T2 flat in rua do Duque, Chiado, Santa Maria Maior","rua do Duque, Chiado, Santa Maria Maior",41.0,T2,"215,000€",3272.529411764706,17
https://www.idealista.pt/en/imovel/33922302/,"Duplex in rua João do Outeiro, Mouraria - Castelo, Santa Maria Maior","rua João do Outeiro, Mouraria - Castelo, Santa Maria Maior",40.0,T2,"240,000€",3275.7272727272725,11
https://www.idealista.pt/en/imovel/33898547/,"T1 flat in rua Aliança Operária, Boa Hora, Ajuda","rua Aliança Operária, Boa Hora, Ajuda",40.0,T1,"300,000€",1336.5,2
https://www.idealista.pt/en/imovel/33736516/,"T1 flat in Alfama, Santa Maria Maior","Alfama, Santa Maria Maior",48.0,T1,"255,000€265,000 €4%",2896.0,5
https://www.idealista.pt/en/imovel/33911212/,"T2 flat in avenida General Roçadas, 169, Centro, Penha de França","avenida General Roçadas, 169, Centro, Penha de França",55.0,T2,"280,000€",1934.0,14
https://www.idealista.pt/en/imovel/33919754/,"T1 flat in travessa de São Miguel, 10, Alfama, Santa Maria Maior","travessa de São Miguel, 10, Alfama, Santa Maria Maior",42.0,T1,"195,000€",2335.9473684210525,19
https://www.idealista.pt/en/imovel/33972383/,"Duplex in rua de São Bento, Príncipe Real - São Bento, Misericórdia","rua de São Bento, Príncipe Real - São Bento, Misericórdia",46.0,T1,"250,000€",2133.3333333333335,3
https://www.idealista.pt/en/imovel/33630455/,"T2 flat in Mouraria - Castelo, Santa Maria Maior","Mouraria - Castelo, Santa Maria Maior",55.0,T2,"285,000€",3188.2285714285713,35
https://www.idealista.pt/en/imovel/33364458/,"T1 flat in Mouraria - Castelo, Santa Maria Maior","Mouraria - Castelo, Santa Maria Maior",47.0,T1,"290,000€",2713.1666666666665,6
https://www.idealista.pt/en/imovel/33955347/,"T2 flat in Largo do Calvário - Lx Factory, Alcântara","Largo do Calvário - Lx Factory, Alcântara",65.0,T2,"269,000€295,000 €9%",1758.5714285714287,7
https://www.idealista.pt/en/imovel/33755290/,"Terraced house in Santa Engrácia, São Vicente","Santa Engrácia, São Vicente",79.0,T2,"230,000€",2027.0,2
https://www.idealista.pt/en/imovel/33625352/,"T1 flat in Mouraria - Castelo, Santa Maria Maior","Mouraria - Castelo, Santa Maria Maior",40.0,T1,"170,000€",2452.1290322580644,31
https://www.idealista.pt/en/imovel/33974797/,"T2 flat in Alto de Santo Amaro, Alcântara","Alto de Santo Amaro, Alcântara",46.0,T2,"230,000€",1758.5714285714287,7
https://www.idealista.pt/en/imovel/33681153/,"T2 flat in Anjos, Arroios","Anjos, Arroios",75.0,T2,"299,000€",3026.1428571428573,7
https://www.idealista.pt/en/imovel/33712826/,"T2 flat in rua Aliança Operária, Alto de Alcântara, Alcântara","rua Aliança Operária, Alto de Alcântara, Alcântara",60.0,T2,"245,000€260,000 €6%",1758.5714285714287,7
https://www.idealista.pt/en/imovel/33932941/,"Detached house in Alvito - Quinta do Jacinto, Alcântara","Alvito - Quinta do Jacinto, Alcântara",60.0,T2,"299,000€",1758.5714285714287,7
https://www.idealista.pt/en/imovel/33749208/,"T2 flat in Alto de São João - Alto do Varejão, Penha de França","Alto de São João - Alto do Varejão, Penha de França",58.0,T2,"300,000€",1744.875,8
https://www.idealista.pt/en/imovel/33616511/,"T2 flat in rua Castelo Branco Saraiva, 47, Centro, Penha de França","rua Castelo Branco Saraiva, 47, Centro, Penha de França",58.0,T2,"260,000€",1744.875,8
https://www.idealista.pt/en/imovel/33907990/,"T2 flat in rua do Passadiço, Campo de Santana - Santa Marta, Santo António","rua do Passadiço, Campo de Santana - Santa Marta, Santo António",50.0,T2,"300,000€",1948.3333333333333,6
https://www.idealista.pt/en/imovel/33780968/,"T2 flat in rua Heróis de Quionga, Nn, Alameda - Praça do Chile - Almirante Reis, São Jorge de Arroios, Arroios","rua Heróis de Quionga, Nn, Alameda - Praça do Chile - Almirante Reis, São Jorge de Arroios, Arroios",55.0,T2,"285,000€",1777.1666666666667,6
https://www.idealista.pt/en/imovel/33871132/,"T1 flat in rua de Santo Amaro, 21, Lapa, Estrela","rua de Santo Amaro, 21, Lapa, Estrela",40.0,T1,"245,000€",1803.5714285714287,14
https://www.idealista.pt/en/imovel/33750712/,"T2 flat in rua Lopes, Alto de São João - Alto do Varejão, Penha de França","rua Lopes, Alto de São João - Alto do Varejão, Penha de França",70.0,T2,"250,000€",1734.5714285714287,7
https://www.idealista.pt/en/imovel/33966386/,"T2 flat in Santos-o-Velho - Madragoa, Estrela","Santos-o-Velho - Madragoa, Estrela",50.0,T2,"270,000€299,000 €10%",2476.0,14
https://www.idealista.pt/en/imovel/33772698/,"T2 flat in travessa do Oleiro, 17, Santa Catarina, Misericórdia","travessa do Oleiro, 17, Santa Catarina, Misericórdia",57.0,T2,"288,000€",2412.285714285714,7
https://www.idealista.pt/en/imovel/33119789/,"T2 flat in rua da Madalena, Baixa, Santa Maria Maior","rua da Madalena, Baixa, Santa Maria Maior",66.0,T2,"290,000€",3188.2285714285713,35
https://www.idealista.pt/en/imovel/33164642/,"T2 flat in estrada dos Prazeres, Prazeres - Maria Pia, Campo de Ourique","estrada dos Prazeres, Prazeres - Maria Pia, Campo de Ourique",65.0,T2,"275,000€",2018.9,10
https://www.idealista.pt/en/imovel/33791667/,"T2 flat in travessa do Zagalo, 19, São Vicente de Fora, São Vicente","travessa do Zagalo, 19, São Vicente de Fora, São Vicente",42.0,T2,"220,000€",1637.5,4
https://www.idealista.pt/en/imovel/33059426/,"T2 flat in estrada dos Prazeres, Prazeres - Maria Pia, Campo de Ourique","estrada dos Prazeres, Prazeres - Maria Pia, Campo de Ourique",77.0,T2,"275,000€",2032.111111111111,9
https://www.idealista.pt/en/imovel/33831271/,"T2 flat in beco Birbantes, 25, Pena, Arroios","beco Birbantes, 25, Pena, Arroios",74.0,T2,"275,000€285,000 €4%",2507.5454545454545,11
https://www.idealista.pt/en/imovel/33750659/,"T2 flat in travessa do Oleiro, Santa Catarina, Misericórdia","travessa do Oleiro, Santa Catarina, Misericórdia",57.0,T2,"288,000€",2412.285714285714,7
https://www.idealista.pt/en/imovel/33220551/,"T2 flat in rua Guarda Jóias,, Boa Hora, Ajuda","rua Guarda Jóias,, Boa Hora, Ajuda",68.0,T2,"205,000€",1650.0,1
https://www.idealista.pt/en/imovel/33572164/,"T1 flat in rua Cidade da Horta, 8, Estefânia, São Jorge de Arroios, Arroios","rua Cidade da Horta, 8, Estefânia, São Jorge de Arroios, Arroios",47.0,T1,"175,000€",1750.0,1
https://www.idealista.pt/en/imovel/33034841/,"T2 flat in estrada dos Prazeres, Prazeres - Maria Pia, Campo de Ourique","estrada dos Prazeres, Prazeres - Maria Pia, Campo de Ourique",77.0,T2,"275,000€",2032.111111111111,9
https://www.idealista.pt/en/imovel/33773682/,"T1 flat in rua Santos Pinto, Lapa, Estrela","rua Santos Pinto, Lapa, Estrela",50.0,T1,"290,000€",1875.0,2
https://www.idealista.pt/en/imovel/33850250/,"T1 flat in Santos-o-Velho - Madragoa, Estrela","Santos-o-Velho - Madragoa, Estrela",50.0,T1,"270,000€",1875.0,2
https://www.idealista.pt/en/imovel/33967223/,"T1 flat in rua do Vale de Santo António, São Vicente de Fora, São Vicente","rua do Vale de Santo António, São Vicente de Fora, São Vicente",40.0,T1,"299,900€",1116.6666666666667,6
https://www.idealista.pt/en/imovel/33886530/,"T2 flat in travessa do Oleiro, Santa Catarina, Misericórdia","travessa do Oleiro, Santa Catarina, Misericórdia",57.0,T2,"288,000€",2412.285714285714,7
https://www.idealista.pt/en/imovel/32813012/,"T1 flat in Alfama, Santa Maria Maior","Alfama, Santa Maria Maior",42.0,T1,"219,500€",2335.9473684210525,19
https://www.idealista.pt/en/imovel/32568986/,"T2 flat in Alfama, Santa Maria Maior","Alfama, Santa Maria Maior",56.0,T2,"300,000€",3188.2285714285713,35
https://www.idealista.pt/en/imovel/33015058/,"T2 flat in rua de São Pedro Mártir, Mouraria - Castelo, Santa Maria Maior","rua de São Pedro Mártir, Mouraria - Castelo, Santa Maria Maior",55.0,T2,"285,000€",3188.2285714285713,35
https://www.idealista.pt/en/imovel/33596805/,"T2 flat in Bica, Misericórdia","Bica, Misericórdia",60.0,T2,"295,000€",2412.285714285714,7
https://www.idealista.pt/en/imovel/33932700/,"T2 flat in Estrada de Benfica, São Domingos de Benfica","Estrada de Benfica, São Domingos de Benfica",47.0,T2,"285,000€",1506.076923076923,13
https://www.idealista.pt/en/imovel/33077474/,"T1 flat in Lapa, Estrela","Lapa, Estrela",50.0,T1,"299,000€",1875.0,2
https://www.idealista.pt/en/imovel/32401970/,"T2 flat in Graça, São Vicente","Graça, São Vicente",61.0,T2,"250,000€",2136.8333333333335,6
https://www.idealista.pt/en/imovel/33927261/,"T2 flat in travessa Alcaide, 16, Santa Catarina, Misericórdia","travessa Alcaide, 16, Santa Catarina, Misericórdia",75.0,T2,"269,000€",2677.2,5
https://www.idealista.pt/en/imovel/33737730/,"T2 flat in Alto de Santo Amaro, Alcântara","Alto de Santo Amaro, Alcântara",74.0,T2,"295,000€",1691.6666666666667,6
