size,num_rooms,rent_price,location,url
169 m²,T1,"1,150€/monthParking included",,https://www.idealista.pt/en/imovel/34087502/
164 m²,T1,"1,300€/month","avenida General Roçadas, 143, Centro, Penha de França",https://www.idealista.pt/en/imovel/28735898/
2200 m²,T2,"2,100€/monthParking included","rua Nova dos Mercadores, Nn, Expo Sul, Parque das Nações",https://www.idealista.pt/en/imovel/34087277/
2150 m²,T2,"1,250€/month","rua Adelaide Cabete, 3, Centro Histórico - Quinta da Luz, Carnide",https://www.idealista.pt/en/imovel/33655161/
2164 m²,T2,"3,400€/monthParking included","Saldanha - Picoas, São Jorge de Arroios, Arroios",https://www.idealista.pt/en/imovel/34087185/
2106 m²,T2,"1,650€/monthParking included","rua do Volga, Expo Norte, Parque das Nações",https://www.idealista.pt/en/imovel/34087156/
1127 m²,T1,"2,400€/monthParking included","Bairro dos Actores - Barão Sabrosa, Penha de França",https://www.idealista.pt/en/imovel/34087124/
170 m²,T1,"2,750€/month","avenida Duque de Ávila, Saldanha - Picoas, São Jorge de Arroios, Arroios",https://www.idealista.pt/en/imovel/34087067/
280 m²,T2,"2,079€/month",,https://www.idealista.pt/en/imovel/34087038/
160 m²,T1,"2,000€/month","rua das Praças, Lapa, Estrela",https://www.idealista.pt/en/imovel/34087018/
270 m²,T2,"2,000€/month","beco Birbantes, Pena, Arroios",https://www.idealista.pt/en/imovel/34087037/
155 m²,T1,"1,950€/month","travessa dos Inglesinhos, Bairro Alto, Misericórdia",https://www.idealista.pt/en/imovel/34087055/
268 m²,T2,"1,950€/month","rua Luís Fernandes, Príncipe Real - São Bento, Misericórdia",https://www.idealista.pt/en/imovel/34087075/
142 m²,T1,"1,900€/month","rua Maria, Anjos, Arroios",https://www.idealista.pt/en/imovel/34087044/
245 m²,T2,"1,900€/month","avenida 5 de Outubro, Campo Pequeno, Avenidas Novas",https://www.idealista.pt/en/imovel/34087073/
143 m²,T1,"1,850€/month","rua da Rosa, Bairro Alto, Misericórdia",https://www.idealista.pt/en/imovel/34087072/
160 m²,T1,"1,760€/month","rua Domingos Sequeira, Lapa, Estrela",https://www.idealista.pt/en/imovel/34087060/
2100 m²,T2,"1,750€/month","praça de Londres, Centro, Areeiro",https://www.idealista.pt/en/imovel/34087049/
264 m²,T2,"1,700€/month","rua Actor João Rosa, Bairro dos Actores, Areeiro",https://www.idealista.pt/en/imovel/34087012/
270 m²,T2,"1,700€/month","rua Heróis de Quionga, Centro, Penha de França",https://www.idealista.pt/en/imovel/34087032/
265 m²,T2,"1,650€/month","rua da Palma, Rossio - Martim Moniz, Santa Maria Maior",https://www.idealista.pt/en/imovel/34087031/
150 m²,T1,"1,600€/month","beco Carrasco, Santa Catarina, Misericórdia",https://www.idealista.pt/en/imovel/34086968/
165 m²,T1,"1,550€/month","rua Professor Francisco Gentil, Telheiras, Lumiar",https://www.idealista.pt/en/imovel/34087005/
165 m²,T1,"1,550€/month","rua General Taborda, Centro, Campolide",https://www.idealista.pt/en/imovel/34087021/
265 m²,T2,"1,500€/month","rua Ferreira Chaves, Centro, Campolide",https://www.idealista.pt/en/imovel/34086967/
179 m²,T1,"1,500€/month","avenida José Malhoa, Praça de Espanha - Sete Rios, Campolide",https://www.idealista.pt/en/imovel/34087019/
143 m²,T1,"1,500€/month","rua de Santo António da Glória, Praça da Alegria, Santo António",https://www.idealista.pt/en/imovel/34087004/
260 m²,T2,"1,500€/month","travessa São Bernardino, Pena, Arroios",https://www.idealista.pt/en/imovel/34086996/
165 m²,T1,"1,500€/month","rua do Olival, Lapa, Estrela",https://www.idealista.pt/en/imovel/34086995/
185 m²,T1,"1,500€/month","travessa Paulo Martins, Calçada da Ajuda - Belém, Ajuda",https://www.idealista.pt/en/imovel/34087009/
170 m²,T1,"1,450€/month","rua Angelina Vidal, Graça, São Vicente",https://www.idealista.pt/en/imovel/34086966/
260 m²,T2,"1,450€/month","largo das Olarias, Mouraria - Castelo, Santa Maria Maior",https://www.idealista.pt/en/imovel/34086986/
245 m²,T2,"1,450€/month","travessa do Forno aos Anjos, Anjos, Arroios",https://www.idealista.pt/en/imovel/34086888/
142 m²,T1,"1,420€/month","rua do Lumiar, Carriche - Hospital das Forças Armadas, Lumiar",https://www.idealista.pt/en/imovel/34086993/
250 m²,T2,"1,400€/month","rua Castelo Branco Saraiva, Centro, Penha de França",https://www.idealista.pt/en/imovel/34086965/
