url,title,location,price,size,num_rooms,price_per_sqm,room_type,snapshot_date
https://www.idealista.pt/en/imovel/33988435/,"T1 flat in rua Castelo Branco Saraiva, Centro, Penha de França","rua Castelo Branco Saraiva, Centro, Penha de França",135000,44,1,3068.18,T1,2025-03-31
https://www.idealista.pt/en/imovel/33979934/,"T1 flat in rua da Esperança, Santos-o-Velho - Madragoa, Estrela","rua da Esperança, Santos-o-Velho - Madragoa, Estrela",270000,55,1,4909.09,T1,2025-03-31
https://www.idealista.pt/en/imovel/34024999/,"T2 flat in rua Raul de Carvalho, Santa Clara, Lisboa","rua Raul de Carvalho, Santa Clara, Lisboa",249900,92,2,2716.3,T2,2025-03-31
https://www.idealista.pt/en/imovel/34000907/,"T1 flat in rua Cesário Verde, Centro, Penha de França","rua Cesário Verde, Centro, Penha de França",265000,55,1,4818.18,T1,2025-03-31
https://www.idealista.pt/en/imovel/33989423/,"T1 flat in rua David Lopes, Alto de São João - Alto do Varejão, Penha de França","rua David Lopes, Alto de São João - Alto do Varejão, Penha de França",250000,76,1,3289.47,T1,2025-03-31
https://www.idealista.pt/en/imovel/34009842/,"T2 flat, Calçada da Quintinha, 29, Bairro Calçada dos Mestres, Campolide",,270000,82,2,3292.68,T2,2025-03-31
https://www.idealista.pt/en/imovel/33995382/,"T1 flat in praça de alegria, 28, Praça da Alegria, Santo António","praça de alegria, 28, Praça da Alegria, Santo António",300000,40,1,7500.0,T1,2025-03-31
https://www.idealista.pt/en/imovel/33992083/,"T1 flat in Lapa, Estrela","Lapa, Estrela",250000,45,1,5555.56,T1,2025-03-31
https://www.idealista.pt/en/imovel/34041336/,"T1 flat in rua da Bombarda, 53, Anjos, Arroios","rua da Bombarda, 53, Anjos, Arroios",280000,40,1,7000.0,T1,2025-03-31
https://www.idealista.pt/en/imovel/34003346/,"T1 flat in rua Vítor Bastos, 48, Centro, Campolide","rua Vítor Bastos, 48, Centro, Campolide",285000,50,1,5700.0,T1,2025-03-31
https://www.idealista.pt/en/imovel/34005205/,"T2 flat, Calçada do Cascão, 6, São Vicente de Fora, São Vicente",,295000,53,2,5566.04,T2,2025-03-31
https://www.idealista.pt/en/imovel/34010079/,"T2 flat in Graça, São Vicente","Graça, São Vicente",195000,52,2,3750.0,T2,2025-03-31
https://www.idealista.pt/en/imovel/34009087/,"T2 flat in travessa da Madalena, Nn, Mouraria - Castelo, Santa Maria Maior","travessa da Madalena, Nn, Mouraria - Castelo, Santa Maria Maior",210000,45,2,4666.67,T2,2025-03-31
https://www.idealista.pt/en/imovel/33956611/,"T1 flat in rua do Embaixador, 146, Centro, Belém","rua do Embaixador, 146, Centro, Belém",230000,42,1,5476.19,T1,2025-03-31
https://www.idealista.pt/en/imovel/34039073/,"T1 flat, Parada Alto de São João, 14, Alto de São João - Alto do Varejão, Penha de França",,250000,58,1,4310.34,T1,2025-03-31
https://www.idealista.pt/en/imovel/34050216/,"T1 flat in beco das Cruzes, 6, Alfama, Santa Maria Maior","beco das Cruzes, 6, Alfama, Santa Maria Maior",260000,58,1,4482.76,T1,2025-03-31
https://www.idealista.pt/en/imovel/33983717/,"T1 flat in Alfama, Santa Maria Maior","Alfama, Santa Maria Maior",289000,41,1,7048.78,T1,2025-03-31
https://www.idealista.pt/en/imovel/34001087/,"T1 flat, Calçada da Picheleira, 54 Rc Esquerdo, Beato, Lisboa",,200000,90,1,2222.22,T1,2025-03-31
https://www.idealista.pt/en/imovel/34048820/,"T1 flat in travessa do Convento da Encarnação, 21, Pena, Arroios","travessa do Convento da Encarnação, 21, Pena, Arroios",220000,50,1,4400.0,T1,2025-03-31
