id,url,title,price,price_numeric,location,size,room_type,floor,lift,details,last_updated
33630455,https://www.idealista.pt/en/imovel/33630455/,"T2 flat in Mouraria - Castelo, Santa Maria Maior","285,000€",285000,"Mouraria - Castelo, Santa Maria Maior",255,T2,2,,T255 m²2nd floor,2025-03-16 10:28:49
33964850,https://www.idealista.pt/en/imovel/33964850/,"T2 flat in rua Doutor João de Barros, Arneiros, Benfica","250,000€",250000,"rua Doutor João de Barros, Arneiros, Benfica",273,T2,5,Yes,T273 m²5th floor with lift,2025-03-16 10:28:49
33086982,https://www.idealista.pt/en/imovel/33086982/,"T1 flat in rua Francisco Mantero, Olivais, Lisboa","250,000€",250000,"rua Francisco Mantero, Olivais, Lisboa",148,T1,8,Yes,T148 m²8th floor with lift,2025-03-16 10:28:49
33364458,https://www.idealista.pt/en/imovel/33364458/,"T1 flat in Mouraria - Castelo, Santa Maria Maior","290,000€",290000,"Mouraria - Castelo, Santa Maria Maior",147,T1,Ground floor,Yes,T147 m²Ground floor with lift,2025-03-16 10:28:49
33955347,https://www.idealista.pt/en/imovel/33955347/,"T2 flat in Largo do Calvário - Lx Factory, Alcântara","269,000€295,000 €9%",269000,"Largo do Calvário - Lx Factory, Alcântara",265,T2,3,No,T265 m²3rd floor without lift,2025-03-16 10:28:49
33755290,https://www.idealista.pt/en/imovel/33755290/,"Terraced house in Santa Engrácia, São Vicente","230,000€",230000,"Santa Engrácia, São Vicente",279,T2,,,T279 m²,2025-03-16 10:28:49
33625352,https://www.idealista.pt/en/imovel/33625352/,"T1 flat in Mouraria - Castelo, Santa Maria Maior","170,000€",170000,"Mouraria - Castelo, Santa Maria Maior",140,T1,Ground floor,No,T140 m²Ground floor without lift,2025-03-16 10:28:49
33096356,https://www.idealista.pt/en/imovel/33096356/,"T1 flat in Lapa, Estrela","298,000€",298000,"Lapa, Estrela",155,T1,,No,T155 m²without lift,2025-03-16 10:28:49
33974797,https://www.idealista.pt/en/imovel/33974797/,"T2 flat in Alto de Santo Amaro, Alcântara","230,000€",230000,"Alto de Santo Amaro, Alcântara",246,T2,3,No,T246 m²3rd floor without lift,2025-03-16 10:28:49
33935870,https://www.idealista.pt/en/imovel/33935870/,"T1 flat in beco do Alegrete, 10, Mouraria - Castelo, Santa Maria Maior","269,000€",269000,"beco do Alegrete, 10, Mouraria - Castelo, Santa Maria Maior",160,T1,,No,T160 m²without lift,2025-03-16 10:28:49
33681153,https://www.idealista.pt/en/imovel/33681153/,"T2 flat in Anjos, Arroios","299,000€",299000,"Anjos, Arroios",275,T2,,No,T275 m²without lift,2025-03-16 10:28:49
33712826,https://www.idealista.pt/en/imovel/33712826/,"T2 flat in rua Aliança Operária, Alto de Alcântara, Alcântara","245,000€260,000 €6%",245000,"rua Aliança Operária, Alto de Alcântara, Alcântara",260,T2,Basement,No,T260 m²Basement without lift,2025-03-16 10:28:49
33932941,https://www.idealista.pt/en/imovel/33932941/,"Detached house in Alvito - Quinta do Jacinto, Alcântara","299,000€",299000,"Alvito - Quinta do Jacinto, Alcântara",260,T2,,,T260 m²,2025-03-16 10:28:49
33749208,https://www.idealista.pt/en/imovel/33749208/,"T2 flat in Alto de São João - Alto do Varejão, Penha de França","300,000€",300000,"Alto de São João - Alto do Varejão, Penha de França",258,T2,3,Yes,T258 m²3rd floor with lift,2025-03-16 10:28:49
33616511,https://www.idealista.pt/en/imovel/33616511/,"T2 flat in rua Castelo Branco Saraiva, 47, Centro, Penha de França","260,000€",260000,"rua Castelo Branco Saraiva, 47, Centro, Penha de França",258,T2,Ground floor,No,T258 m²Ground floor without lift,2025-03-16 10:28:49
32537931,https://www.idealista.pt/en/imovel/32537931/,"T1 flat in rua da Senhora do Monte, 5, Graça, São Vicente","299,000€",299000,"rua da Senhora do Monte, 5, Graça, São Vicente",144,T1,3,No,T144 m²3rd floor without lift,2025-03-16 10:28:49
33907990,https://www.idealista.pt/en/imovel/33907990/,"T2 flat in rua do Passadiço, Campo de Santana - Santa Marta, Santo António","300,000€",300000,"rua do Passadiço, Campo de Santana - Santa Marta, Santo António",250,T2,2,No,T250 m²2nd floor without lift,2025-03-16 10:28:49
33485746,https://www.idealista.pt/en/imovel/33485746/,"T1 flat in Bairro Alto, Misericórdia","299,000€",299000,"Bairro Alto, Misericórdia",150,T1,1,No,T150 m²1st floor without lift,2025-03-16 10:28:49
33815374,https://www.idealista.pt/en/imovel/33815374/,"T1 flat, Calçado do Garcia, 31, Baixa, Santa Maria Maior","290,000€",290000,,147,T1,Ground floor,Yes,T147 m²Ground floor with lift,2025-03-16 10:28:49
33780968,https://www.idealista.pt/en/imovel/33780968/,"T2 flat in rua Heróis de Quionga, Nn, Alameda - Praça do Chile - Almirante Reis, São Jorge de Arroios, Arroios","285,000€",285000,"rua Heróis de Quionga, Nn, Alameda - Praça do Chile - Almirante Reis, São Jorge de Arroios, Arroios",255,T2,3,No,T255 m²3rd floor without lift,2025-03-16 10:29:06
