size,num_rooms,rent_price,location,url
50 m²,T2,1400€/month,"rua Castelo Branco Saraiva, Centro, Penha de França",https://www.idealista.pt/en/imovel/27806406/
45 m²,T1,900€/month,"travessa do Conde de Avintes, São Vicente de Fora, São Vicente",https://www.idealista.pt/en/imovel/27801735/
43 m²,T1,1150€/month,"rua Martin Luther King, Santa Clara, Lisboa",https://www.idealista.pt/en/imovel/27801611/
50 m²,T1,1400€/month,"rua do Sol a Santa Catarina, Santa Catarina, Misericórdia",https://www.idealista.pt/en/imovel/27801323/
45 m²,T1,900€/month,"travessa do Conde de Avintes, São Vicente de Fora, São Vicente",https://www.idealista.pt/en/imovel/27801271/
94 m²,T2,1400€/month,"avenida Almirante Reis, Alameda - Praça do Chile - Almirante Reis, São Jorge de Arroios, Arroios",https://www.idealista.pt/en/imovel/34064720/
73 m²,T2,1700€/month,"rua Artur Lamas, Junqueira, Alcântara",https://www.idealista.pt/en/imovel/34064482/
80 m²,T1,1450€/month,"alameda Santo António dos Capuchos, 6, Pena, Arroios",https://www.idealista.pt/en/imovel/34063697/
79 m²,T2,1200€/month,"rua Antónia Pusich, 7, Campo Grande, Alvalade",https://www.idealista.pt/en/imovel/34062575/
50 m²,T1,3667€/month,"rua do Salitre, Rato - Amoreiras, Santo António",https://www.idealista.pt/en/imovel/34064547/
50 m²,T2,5000€/month,"rua da Atalaia, Bairro Alto, Misericórdia",https://www.idealista.pt/en/imovel/34064544/
50 m²,T1,2867€/month,"beco dos Cativos, Alfama, Santa Maria Maior",https://www.idealista.pt/en/imovel/34064531/
65 m²,T1,1250€/month,"rua Latino Coelho, São Sebastião da Pedreira, Avenidas Novas",https://www.idealista.pt/en/imovel/34064508/
50 m²,T2,3000€/month,,https://www.idealista.pt/en/imovel/34064503/
120 m²,T2,4000€/month,"rua Giestal, Junqueira, Alcântara",https://www.idealista.pt/en/imovel/34064464/
95 m²,T2,2500€/month,"rua 4 de Infantaria, Centro, Campo de Ourique",https://www.idealista.pt/en/imovel/34064461/
50 m²,T1,1400€/month,"Telheiras, Lumiar",https://www.idealista.pt/en/imovel/34064436/
99 m²,T2,1500€/month,"Telheiras, Lumiar",https://www.idealista.pt/en/imovel/34064435/
67 m²,T2,2050€/month,"Príncipe Real, Santo António",https://www.idealista.pt/en/imovel/34064391/
62 m²,T2,2000€/month,"rua de São Lázaro, Pena, Arroios",https://www.idealista.pt/en/imovel/34064014/
100 m²,T2,2250€/month,"rua dos Douradores, Baixa, Santa Maria Maior",https://www.idealista.pt/en/imovel/34064066/
70 m²,T1,1650€/month,"rua de Pedrouços, Pedrouços, Belém",https://www.idealista.pt/en/imovel/34064064/
62 m²,T2,1500€/month,"rua Lucinda Simões, Alameda - Praça do Chile - Almirante Reis, São Jorge de Arroios, Arroios",https://www.idealista.pt/en/imovel/34064056/
64 m²,T2,1300€/month,"rua André de Resende, Avenida do Uruguai, Benfica",https://www.idealista.pt/en/imovel/34064062/
81 m²,T2,1400€/month,"rua Coronel Santos Pedroso, Arneiros, Benfica",https://www.idealista.pt/en/imovel/34064037/
64 m²,T2,1700€/month,"rua Actor João Rosa, Bairro dos Actores, Areeiro",https://www.idealista.pt/en/imovel/33921265/
68 m²,T2,1950€/month,"rua Luís Fernandes, Príncipe Real - São Bento, Misericórdia",https://www.idealista.pt/en/imovel/33688115/
40 m²,T1,1200€/month,,https://www.idealista.pt/en/imovel/33663212/
65 m²,T1,1550€/month,"rua Professor Francisco Gentil, Telheiras, Lumiar",https://www.idealista.pt/en/imovel/33520973/
65 m²,T1,1150€/month,,https://www.idealista.pt/en/imovel/33491618/
