size,num_rooms,rent_price,location,url
T143 m²,T1,850€/month,"rua do Jardim à Estrela, Lapa, Estrela",https://www.idealista.pt/en/imovel/28047154/
T190 m²,T1,"1,200€/month","rua Luís Pastor de Macedo, Alto do Lumiar - Quinta das Conchas - Quinta do Lambert, Lumiar",https://www.idealista.pt/en/imovel/28038137/
T144 m²,T1,"1,500€/month",,https://www.idealista.pt/en/imovel/27971463/
T264 m²,T2,"1,300€/month","praça João de Azevedo Coutinho, Alto de São João - Alto do Varejão, Penha de França",https://www.idealista.pt/en/imovel/27909726/
T143 m²,T1,990€/month,"rua Capitão Renato Baptista, Anjos, Arroios",https://www.idealista.pt/en/imovel/27908690/
T144 m²,T1,"1,000€/month1,100 €9%","avenida Elias Garcia, Campo Pequeno, Avenidas Novas",https://www.idealista.pt/en/imovel/27822291/
T250 m²,T2,"1,400€/month","rua Castelo Branco Saraiva, Centro, Penha de França",https://www.idealista.pt/en/imovel/27806406/
T145 m²,T1,900€/month,"travessa do Conde de Avintes, São Vicente de Fora, São Vicente",https://www.idealista.pt/en/imovel/27801735/
T143 m²,T1,"1,150€/month","rua Martin Luther King, Santa Clara, Lisboa",https://www.idealista.pt/en/imovel/27801611/
T150 m²,T1,"1,400€/month","rua do Sol a Santa Catarina, Santa Catarina, Misericórdia",https://www.idealista.pt/en/imovel/27801323/
T145 m²,T1,900€/month,"travessa do Conde de Avintes, São Vicente de Fora, São Vicente",https://www.idealista.pt/en/imovel/27801271/
T294 m²,T2,"1,400€/month","avenida Almirante Reis, Alameda - Praça do Chile - Almirante Reis, São Jorge de Arroios, Arroios",https://www.idealista.pt/en/imovel/34064720/
T273 m²,T2,"1,700€/month","rua Artur Lamas, Junqueira, Alcântara",https://www.idealista.pt/en/imovel/34064482/
T180 m²,T1,"1,450€/month","alameda Santo António dos Capuchos, 6, Pena, Arroios",https://www.idealista.pt/en/imovel/34063697/
T279 m²,T2,"1,200€/month","rua Antónia Pusich, 7, Campo Grande, Alvalade",https://www.idealista.pt/en/imovel/34062575/
T150 m²,T1,"3,667€/month","rua do Salitre, Rato - Amoreiras, Santo António",https://www.idealista.pt/en/imovel/34064547/
T250 m²,T2,"5,000€/month","rua da Atalaia, Bairro Alto, Misericórdia",https://www.idealista.pt/en/imovel/34064544/
T150 m²,T1,"2,867€/month","beco dos Cativos, Alfama, Santa Maria Maior",https://www.idealista.pt/en/imovel/34064531/
T165 m²,T1,"1,250€/month","rua Latino Coelho, São Sebastião da Pedreira, Avenidas Novas",https://www.idealista.pt/en/imovel/34064508/
T250 m²,T2,"3,000€/month",,https://www.idealista.pt/en/imovel/34064503/
T2120 m²,T2,"4,000€/month","rua Giestal, Junqueira, Alcântara",https://www.idealista.pt/en/imovel/34064464/
T295 m²,T2,"2,500€/month","rua 4 de Infantaria, Centro, Campo de Ourique",https://www.idealista.pt/en/imovel/34064461/
T150 m²,T1,"1,400€/month","Telheiras, Lumiar",https://www.idealista.pt/en/imovel/34064436/
T299 m²,T2,"1,500€/monthParking included","Telheiras, Lumiar",https://www.idealista.pt/en/imovel/34064435/
T267 m²,T2,"2,050€/month","Príncipe Real, Santo António",https://www.idealista.pt/en/imovel/34064391/
T262 m²,T2,"2,000€/month","rua de São Lázaro, Pena, Arroios",https://www.idealista.pt/en/imovel/34064014/
T2100 m²,T2,"2,250€/month","rua dos Douradores, Baixa, Santa Maria Maior",https://www.idealista.pt/en/imovel/34064066/
T170 m²,T1,"1,650€/month","rua de Pedrouços, Pedrouços, Belém",https://www.idealista.pt/en/imovel/34064064/
T262 m²,T2,"1,500€/month","rua Lucinda Simões, Alameda - Praça do Chile - Almirante Reis, São Jorge de Arroios, Arroios",https://www.idealista.pt/en/imovel/34064056/
T264 m²,T2,"1,300€/month","rua André de Resende, Avenida do Uruguai, Benfica",https://www.idealista.pt/en/imovel/34064062/
T281 m²,T2,"1,400€/month","rua Coronel Santos Pedroso, Arneiros, Benfica",https://www.idealista.pt/en/imovel/34064037/
T264 m²,T2,"1,700€/month","rua Actor João Rosa, Bairro dos Actores, Areeiro",https://www.idealista.pt/en/imovel/33921265/
T268 m²,T2,"1,950€/month","rua Luís Fernandes, Príncipe Real - São Bento, Misericórdia",https://www.idealista.pt/en/imovel/33688115/
T140 m²,T1,"1,200€/month",,https://www.idealista.pt/en/imovel/33663212/
T165 m²,T1,"1,550€/month","rua Professor Francisco Gentil, Telheiras, Lumiar",https://www.idealista.pt/en/imovel/33520973/
T165 m²,T1,"1,150€/month",,https://www.idealista.pt/en/imovel/33491618/
T265 m²,T2,"1,500€/month","rua Ferreira Chaves, Centro, Campolide",https://www.idealista.pt/en/imovel/33427357/
T165 m²,T1,"1,500€/month","rua do Olival, Lapa, Estrela",https://www.idealista.pt/en/imovel/33293443/
T179 m²,T1,"1,500€/month","avenida José Malhoa, Praça de Espanha - Sete Rios, Campolide",https://www.idealista.pt/en/imovel/33147158/
T170 m²,T1,"1,450€/month","rua Angelina Vidal, Graça, São Vicente",https://www.idealista.pt/en/imovel/32984298/
T168 m²,T1,"1,350€/month","praça Praça Duque de Saldanha, Saldanha - Picoas, São Jorge de Arroios, Arroios",https://www.idealista.pt/en/imovel/30555176/
T290 m²,T2,"1,200€/month","rua Francisco de Holanda, 20, Entrecampos, Avenidas Novas",https://www.idealista.pt/en/imovel/34063923/
T2120 m²,T2,"1,600€/monthParking included1,800 €11%","Quinta dos Alcoutins, Lumiar",https://www.idealista.pt/en/imovel/32825962/
T266 m²,T2,"1,300€/month","Estrada de Benfica, São Domingos de Benfica",https://www.idealista.pt/en/imovel/34063821/
T2125 m²,T2,"2,500€/monthParking included","Campo Pequeno, Avenidas Novas",https://www.idealista.pt/en/imovel/34063659/
T170 m²,T1,"1,190€/month","rua da Palmeira, 15, Príncipe Real - São Bento, Misericórdia",https://www.idealista.pt/en/imovel/30635167/
T144 m²,T1,"1,600€/month","rua Conde das Antas, Centro, Campolide",https://www.idealista.pt/en/imovel/34063245/
T140 m²,T1,"1,261€/month","rua do Embaixador, Centro, Belém",https://www.idealista.pt/en/imovel/34063215/
T146 m²,T1,850€/month,"rua de Alcântara, Largo do Calvário - Lx Factory, Alcântara",https://www.idealista.pt/en/imovel/34063242/
T250 m²,T2,"1,500€/month","Amoreiras, Campo de Ourique",https://www.idealista.pt/en/imovel/34063219/
T150 m²,T1,"1,050€/month",,https://www.idealista.pt/en/imovel/33514953/
T291 m²,T2,"1,450€/month","estrada de Benfica, Estrada de Benfica, São Domingos de Benfica",https://www.idealista.pt/en/imovel/34063167/
T160 m²,T1,"1,760€/month","rua Domingos Sequeira, Lapa, Estrela",https://www.idealista.pt/en/imovel/33815390/
T160 m²,T1,"2,000€/month","rua das Praças, Lapa, Estrela",https://www.idealista.pt/en/imovel/33790731/
T165 m²,T1,"1,550€/month","rua General Taborda, Centro, Campolide",https://www.idealista.pt/en/imovel/33753089/
T158 m²,T1,"1,200€/month","Centro, Campo de Ourique",https://www.idealista.pt/en/imovel/34063087/
T290 m²,T2,"2,000€/monthParking included","rua Angelina Vidal, 12, Centro, Penha de França",https://www.idealista.pt/en/imovel/33057168/
